customer_id,date,daily_energy_usage_kwh
MAC000322,2012-03-06,3.035
MAC000322,2012-03-07,5.531999999999998
MAC000322,2012-03-08,4.984000000000001
MAC000322,2012-03-09,5.337999999999997
MAC000322,2012-03-10,5.845000000000001
MAC000322,2012-03-11,5.8119999999999985
MAC000322,2012-03-12,4.824
MAC000322,2012-03-13,4.205
MAC000322,2012-03-14,4.630999999999999
MAC000322,2012-03-15,3.950999999999999
MAC000322,2012-03-16,4.197999999999999
MAC000322,2012-03-17,4.392999999999999
MAC000322,2012-03-18,5.201999999999998
MAC000322,2012-03-19,4.379999999999999
MAC000322,2012-03-20,4.320999999999999
MAC000322,2012-03-21,4.233999999999999
MAC000322,2012-03-22,4.1469999999999985
MAC000322,2012-03-23,4.431
MAC000322,2012-03-24,5.192999999999999
MAC000322,2012-03-25,4.758
MAC000322,2012-03-26,4.022
MAC000322,2012-03-27,4.518
MAC000322,2012-03-28,7.514
MAC000322,2012-03-29,5.281000000000001
MAC000322,2012-03-30,6.153000000000001
MAC000322,2012-03-31,6.292000000000001
MAC000322,2012-04-01,6.584999999999998
MAC000322,2012-04-02,5.0
MAC000322,2012-04-03,7.271999999999999
MAC000322,2012-04-04,4.965999999999999
MAC000322,2012-04-05,5.97
MAC000322,2012-04-06,4.9399999999999995
MAC000322,2012-04-07,4.26
MAC000322,2012-04-08,5.1049999999999995
MAC000322,2012-04-09,6.0820000000000025
MAC000322,2012-04-10,4.868000000000001
MAC000322,2012-04-11,3.984
MAC000322,2012-04-12,5.198999999999999
MAC000322,2012-04-13,5.764000000000001
MAC000322,2012-04-14,5.155999999999999
MAC000322,2012-04-15,5.637999999999999
MAC000322,2012-04-16,4.889000000000001
MAC000322,2012-04-17,5.824000000000001
MAC000322,2012-04-18,6.149
MAC000322,2012-04-19,4.509
MAC000322,2012-04-20,5.071000000000001
MAC000322,2012-04-21,5.1819999999999995
MAC000322,2012-04-22,6.269000000000001
MAC000322,2012-04-23,4.565999999999999
MAC000322,2012-04-24,4.571999999999999
MAC000322,2012-04-25,5.4559999999999995
MAC000322,2012-04-26,5.223
MAC000322,2012-04-27,6.501999999999999
MAC000322,2012-04-28,6.862
MAC000322,2012-04-29,7.013
MAC000322,2012-04-30,4.154
MAC000322,2012-05-01,5.089999999999999
MAC000322,2012-05-02,6.280000000000001
MAC000322,2012-05-03,5.4159999999999995
MAC000322,2012-05-04,5.818
MAC000322,2012-05-05,5.73
MAC000322,2012-05-06,5.827000000000002
MAC000322,2012-05-07,5.524000000000001
MAC000322,2012-05-08,5.283
MAC000322,2012-05-09,5.418
MAC000322,2012-05-10,4.851000000000001
MAC000322,2012-05-11,6.127000000000003
MAC000322,2012-05-12,6.164000000000001
MAC000322,2012-05-13,4.843000000000001
MAC000322,2012-05-14,4.957999999999999
MAC000322,2012-05-15,6.539999999999997
MAC000322,2012-05-16,4.8549999999999995
MAC000322,2012-05-17,5.451000000000002
MAC000322,2012-05-18,6.304
MAC000322,2012-05-19,6.74
MAC000322,2012-05-20,5.446000000000001
MAC000322,2012-05-21,4.537000000000001
MAC000322,2012-05-22,5.873
MAC000322,2012-05-23,4.605
MAC000322,2012-05-24,5.276
MAC000322,2012-05-25,5.612000000000002
MAC000322,2012-05-26,6.883000000000002
MAC000322,2012-05-27,6.764999999999999
MAC000322,2012-05-28,5.690000000000003
MAC000322,2012-05-29,4.378
MAC000322,2012-05-30,6.415999999999999
MAC000322,2012-05-31,4.156
MAC000322,2012-06-01,6.043
MAC000322,2012-06-02,4.582000000000001
MAC000322,2012-06-03,5.837000000000001
MAC000322,2012-06-04,6.926000000000001
MAC000322,2012-06-05,4.9190000000000005
MAC000322,2012-06-06,5.468
MAC000322,2012-06-07,4.900999999999999
MAC000322,2012-06-08,6.789
MAC000322,2012-06-09,6.401999999999999
MAC000322,2012-06-10,6.156000000000001
MAC000322,2012-06-11,5.813999999999999
MAC000322,2012-06-12,4.297999999999999
MAC000322,2012-06-13,6.648999999999999
MAC000322,2012-06-14,4.202000000000001
MAC000322,2012-06-15,6.306000000000002
MAC000322,2012-06-16,6.312999999999998
MAC000322,2012-06-17,6.992
MAC000322,2012-06-18,4.056000000000001
MAC000322,2012-06-19,6.671999999999998
MAC000322,2012-06-20,4.667
MAC000322,2012-06-21,3.7979999999999983
MAC000322,2012-06-22,4.5280000000000005
MAC000322,2012-06-23,5.272000000000001
MAC000322,2012-06-24,5.531999999999999
MAC000322,2012-06-25,4.7909999999999995
MAC000322,2012-06-26,3.649
MAC000322,2012-06-27,5.960999999999999
MAC000322,2012-06-28,4.170000000000001
MAC000322,2012-06-29,4.902999999999999
MAC000322,2012-06-30,0.132
MAC000322,2012-07-01,4.6610000000000005
MAC000322,2012-07-02,5.026999999999999
MAC000322,2012-07-03,5.482
MAC000322,2012-07-04,5.018
MAC000322,2012-07-05,6.0840000000000005
MAC000322,2012-07-06,4.981
MAC000322,2012-07-07,4.829999999999997
MAC000322,2012-07-08,6.5310000000000015
MAC000322,2012-07-09,4.427
MAC000322,2012-07-10,4.862000000000002
MAC000322,2012-07-11,5.052999999999999
MAC000322,2012-07-12,5.325
MAC000322,2012-07-13,6.289999999999998
MAC000322,2012-07-14,5.286999999999999
MAC000322,2012-07-15,5.563
MAC000322,2012-07-16,5.516000000000001
MAC000322,2012-07-17,5.015999999999998
MAC000322,2012-07-18,5.530999999999998
MAC000322,2012-07-19,5.550000000000001
MAC000322,2012-07-20,5.933
MAC000322,2012-07-21,5.209000000000001
MAC000322,2012-07-22,6.031999999999998
MAC000322,2012-07-23,4.792999999999999
MAC000322,2012-07-24,5.001
MAC000322,2012-07-25,4.476999999999999
MAC000322,2012-07-26,4.688000000000001
MAC000322,2012-07-27,6.256
MAC000322,2012-07-28,3.4800000000000004
MAC000322,2012-07-29,3.703
MAC000322,2012-07-30,5.397
MAC000322,2012-07-31,5.431
MAC000322,2012-08-01,6.022000000000001
MAC000322,2012-08-02,5.954999999999999
MAC000322,2012-08-03,4.762999999999999
MAC000322,2012-08-04,5.82
MAC000322,2012-08-05,5.310000000000001
MAC000322,2012-08-06,4.567999999999999
MAC000322,2012-08-07,7.151000000000002
MAC000322,2012-08-08,4.297999999999999
MAC000322,2012-08-09,4.666000000000001
MAC000322,2012-08-10,4.434
MAC000322,2012-08-11,5.757
MAC000322,2012-08-12,5.154000000000001
MAC000322,2012-08-13,5.149
MAC000322,2012-08-14,6.911000000000001
MAC000322,2012-08-15,5.106
MAC000322,2012-08-16,4.9879999999999995
MAC000322,2012-08-17,6.4849999999999985
MAC000322,2012-08-18,4.429
MAC000322,2012-08-19,6.795000000000001
MAC000322,2012-08-20,4.866
MAC000322,2012-08-21,5.963
MAC000322,2012-08-22,5.965000000000002
MAC000322,2012-08-23,5.901999999999999
MAC000322,2012-08-24,4.936999999999999
MAC000322,2012-08-25,4.283
MAC000322,2012-08-26,6.403999999999998
MAC000322,2012-08-27,6.0329999999999995
MAC000322,2012-08-28,4.2490000000000006
MAC000322,2012-08-29,4.834999999999999
MAC000322,2012-08-30,4.649000000000001
MAC000322,2012-08-31,5.239999999999999
MAC000322,2012-09-01,5.12
MAC000322,2012-09-02,4.565999999999999
MAC000322,2012-09-03,5.249999999999999
MAC000322,2012-09-04,3.962
MAC000322,2012-09-05,4.85
MAC000322,2012-09-06,4.986999999999998
MAC000322,2012-09-07,4.239000000000001
MAC000322,2012-09-08,4.186
MAC000322,2012-09-09,5.202999999999999
MAC000322,2012-09-10,4.738000000000001
MAC000322,2012-09-11,5.796999999999999
MAC000322,2012-09-12,4.314
MAC000322,2012-09-13,4.762000000000001
MAC000322,2012-09-14,4.901000000000002
MAC000322,2012-09-15,6.163000000000001
MAC000322,2012-09-16,5.0539999999999985
MAC000322,2012-09-17,4.603
MAC000322,2012-09-18,4.437000000000001
MAC000322,2012-09-19,6.595999999999999
MAC000322,2012-09-20,4.359999999999999
MAC000322,2012-09-21,4.288
MAC000322,2012-09-22,6.404
MAC000322,2012-09-23,5.441999999999999
